ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
1.0,0.0,0.0,-0.0188094,0.333348,-0.00103885,3.99991,4.06088,4.25501,4.61594,5.21697,6.21507,7.98546,11.6709,31.5208,64.7381,35.2193,22.3444,15.9379,12.4614,10.4525,9.24326,8.51674,8.125,8.00009
