ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
1.0,0.0,0.0,0.0505387,0.334518,0.00257176,8.31855,8.45071,8.86071,9.61972,10.8826,12.9812,16.7115,24.4949,48.6137,200.0,94.6841,48.4313,33.2151,25.8726,21.7293,19.2336,17.7355,16.9312,16.6815
