ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
1.0,0.0,0.0,-0.049869,-0.333324,0.00112898,6.66662,6.77081,7.09739,7.70297,8.71091,10.3854,13.3594,19.5526,38.639,200.0,19.0741,9.71603,6.65376,5.17886,4.34731,3.84655,3.54586,3.38413,3.33338
