ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
1.0,0.0,0.0,0.0,-0.333333,1.74846E-7,10.6667,10.8312,11.3512,12.3168,13.9243,16.5944,21.3333,31.1873,61.4269,200.0,30.7134,15.5936,10.6667,8.2972,6.96218,6.15841,5.67562,5.41561,5.33334
