ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
1.0,0.0,0.0,-0.00526801,-0.333284,-0.00362604,8.6664,8.79447,9.21044,9.98619,11.2789,13.4245,17.2246,25.0889,48.9022,200.0,25.4807,12.7983,8.72215,6.77128,5.67449,5.0146,4.6179,4.40335,4.33368
