ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
1.0,0.0,0.0,-0.00582782,-0.333363,0.00139696,7.3335,7.44788,7.80572,8.46796,9.56793,11.3872,14.5863,21.0481,38.3732,200.0,22.1475,10.7845,7.34234,5.70413,4.78465,4.23178,3.90039,3.72229,3.6665
