ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
1.0,0.0,0.0,0.0,-0.333334,1.74846E-7,10.0,10.1543,10.6418,11.547,13.0541,15.5573,20.0,29.2381,57.5878,200.0,28.7938,14.619,9.99999,7.77861,6.52703,5.7735,5.32088,5.07713,5.0
