ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00928366,0.335219,0.0117461,5.98346,6.08948,6.39941,6.96866,7.9183,9.513,12.4178,18.8897,49.264,113.617,52.8947,31.9601,22.9306,18.1984,15.4335,13.7408,12.7192,12.1747,12.0178
1.0,0.0,0.0,-0.00826196,0.3353,0.0116798,5.98267,6.08862,6.39844,6.96753,7.91687,9.51099,12.4148,18.8831,49.2157,113.658,52.9099,31.9668,22.9343,18.2008,15.4353,13.7421,12.7203,12.1756,12.0185
1.0,0.0,0.0,0.521866,0.335354,0.011841,5.98224,6.08832,6.39838,6.96768,7.9173,9.51218,12.4173,18.8912,49.3063,113.57,52.8811,31.9563,22.9295,18.1982,15.4339,13.7415,12.7201,12.1758,12.019
1.0,0.0,0.0,1.36592,0.335409,0.0121238,5.98181,6.08813,6.3985,6.96829,7.91864,9.51474,12.4228,18.9065,49.4744,113.413,52.8295,31.9365,22.9203,18.1934,15.4311,13.7399,12.7194,12.1757,12.0195
1.0,0.0,0.0,2.30641,0.335463,0.0125782,5.98132,6.0882,6.39905,6.9696,7.92111,9.51941,12.4322,18.932,49.7524,113.161,52.7453,31.9046,22.9048,18.185,15.4262,13.7371,12.718,12.1753,12.0201
1.0,0.0,0.0,3.26924,0.335531,0.0130135,5.98071,6.08807,6.39948,6.97073,7.92331,9.52362,12.4412,18.9562,50.0216,112.92,52.6657,31.874,22.8903,18.1769,15.4216,13.7346,12.7167,12.1751,12.0208
1.0,0.0,0.0,4.27442,0.335592,0.0136067,5.98022,6.0882,6.40033,6.97253,7.92673,9.52982,12.4538,18.9899,50.3983,112.592,52.5563,31.8323,22.8702,18.1659,15.4151,13.7307,12.7147,12.1745,12.0214
1.0,0.0,0.0,5.29381,0.335666,0.0142652,5.97961,6.08832,6.40125,6.97458,7.93042,9.53665,12.4677,19.0275,50.8276,112.228,52.4352,31.786,22.8479,18.1536,15.408,13.7266,12.7126,12.174,12.0222
1.0,0.0,0.0,6.3227,0.335727,0.0150992,5.97913,6.08868,6.40271,6.97751,7.93549,9.54584,12.4861,19.0762,51.3917,111.77,52.2816,31.7266,22.8193,18.1377,15.3985,13.7209,12.7095,12.1729,12.0229
1.0,0.0,0.0,7.38058,0.335815,0.0160834,5.97845,6.08905,6.40436,6.98071,7.94135,9.55634,12.5073,19.1339,52.0814,111.231,52.1023,31.6577,22.7859,18.1193,15.3876,13.7145,12.7061,12.1718,12.0239
1.0,0.0,0.0,8.39724,0.33589,0.0172226,5.97784,6.08972,6.40643,6.98471,7.94843,9.56906,12.5328,19.2017,52.9239,110.609,51.8946,31.5773,22.7467,18.0975,15.3747,13.7068,12.7019,12.1703,12.0248
1.0,0.0,0.0,9.3946,0.335978,0.018552,5.97723,6.09058,6.40887,6.98947,7.95673,9.58395,12.5625,19.2818,53.9664,109.889,51.6543,31.4841,22.7014,18.0723,15.3597,13.6979,12.6971,12.1686,12.0258
1.0,0.0,0.0,10.3493,0.336066,0.020076,5.97656,6.09155,6.4118,6.99506,7.96646,9.60123,12.5972,19.3745,55.2562,109.07,51.3809,31.3779,22.6495,18.0433,15.3424,13.6876,12.6915,12.1666,12.027
1.0,0.0,0.0,11.4053,0.336168,0.0219356,5.97595,6.0929,6.41553,7.00201,7.97845,9.62262,12.6398,19.4894,56.9896,108.08,51.0506,31.2491,22.5866,18.0081,15.3214,13.675,12.6846,12.1641,12.0284
1.0,0.0,0.0,12.3963,0.336256,0.0237195,5.9754,6.09424,6.41919,7.00873,7.99014,9.64328,12.6813,19.6015,58.86,107.138,50.7374,31.1262,22.5263,17.9743,15.3013,13.663,12.6779,12.1616,12.0296
1.0,0.0,0.0,13.387,0.336338,0.0255205,5.97498,6.09583,6.42297,7.01569,8.00208,9.66449,12.7237,19.7163,61.0213,106.196,50.4236,31.0031,22.4659,17.9403,15.2809,13.6507,12.6712,12.1591,12.0308
1.0,0.0,0.1,14.3635,0.336399,0.0272476,5.97467,6.09741,6.42688,7.02258,8.01379,9.68515,12.765,19.8284,63.4578,105.301,50.1255,30.8858,22.4079,17.9077,15.2613,13.6389,12.6646,12.1566,12.0319
1.0,0.0,0.11,15.3325,0.336466,0.0282275,5.97424,6.09796,6.42871,7.02618,8.02008,9.69647,12.7878,19.8919,65.052,104.798,49.9588,30.8202,22.3756,17.8897,15.2506,13.6325,12.6612,12.1555,12.0329
1.0,0.0,0.12,16.3124,0.336575,0.0282332,5.97321,6.09698,6.42767,7.02509,8.01883,9.69495,12.7858,19.8888,65.0353,104.799,49.9615,30.8221,22.3771,17.8909,15.2517,13.6335,12.6622,12.1565,12.0339
1.0,0.0,0.13,17.2979,0.33667,0.0277445,5.97229,6.09552,6.42548,7.02191,8.0141,9.68741,12.772,19.8529,64.1876,105.056,50.049,30.8576,22.3954,17.9017,15.2586,13.6381,12.6651,12.1582,12.0345
1.0,0.0,0.14,18.2854,0.336772,0.0269758,5.97125,6.09363,6.42255,7.01749,8.00732,9.67627,12.7511,19.7989,62.9635,105.458,50.1847,30.9124,22.4231,17.9178,15.2687,13.6445,12.6693,12.1605,12.0352
