ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
1.0,0.0,0.0,0.0,0.333335,3.01992E-7,4.66665,4.73864,4.96615,5.38859,6.09188,7.26003,9.33331,13.6444,26.8742,200.0,53.7485,27.2889,18.6667,14.5201,12.1838,10.7772,9.93234,9.47733,9.33335
